,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
0,35797.0,within a day,0.5,0.0,False,1,True,True,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,4001.0,1,7,363,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
3,44616.0,within a few hours,1.0,0.79,True,16,True,True,CuauhtÃ©moc,19.41162,-99.17794,Entire home/apt,14,5.5,5.0,8.0,True,False,False,False,False,False,False,True,18000.0,1,365,331,58,8,4.59,4.57,4.7,4.86,4.75,4.98,4.47,False,12,0.44
4,817291.0,within an hour,1.0,1.0,False,2,True,True,Benito JuÃ¡rez,19.38468,-99.17708,Entire home/apt,4,1.0,2.0,2.0,True,False,True,True,True,False,False,False,740.0,2,90,314,61,1,4.85,4.95,4.8,4.9,4.95,4.63,4.78,False,1,0.51
5,56074.0,within a few hours,1.0,0.92,True,3,True,True,CuauhtÃ©moc,19.43977,-99.15605,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,650.0,2,250,354,76,15,4.88,4.95,4.92,4.97,4.93,4.74,4.79,False,2,0.54
6,822005.0,within an hour,1.0,1.0,True,1,True,True,Miguel Hidalgo,19.40243,-99.17828,Entire home/apt,6,1.0,1.0,1.0,True,False,False,True,False,False,False,False,1441.0,4,360,319,51,2,4.45,4.68,4.54,4.94,4.72,4.46,4.34,False,1,0.46
7,58955.0,within a few hours,1.0,0.36,False,1,True,True,CuauhtÃ©moc,19.42113,-99.15955,Entire home/apt,2,1.5,1.0,1.0,True,False,False,False,True,False,False,False,1797.0,3,30,1,47,5,5.0,4.98,4.87,5.0,5.0,5.0,4.91,False,1,0.36
9,67703.0,within a day,0.8,0.63,False,3,True,True,CuauhtÃ©moc,19.41152,-99.16857,Entire home/apt,4,1.0,2.0,2.0,True,False,True,True,True,False,False,False,2496.0,4,30,324,43,4,4.93,4.83,4.8,4.93,4.9,4.98,4.95,False,2,0.33
10,824016.0,a few days or more,0.38,0.0,False,6,True,True,CuauhtÃ©moc,19.40915,-99.17321,Entire home/apt,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,900.0,30,360,206,46,0,4.56,4.6,4.51,4.8,4.89,4.95,4.56,False,6,0.41
11,70644.0,within a day,1.0,1.0,True,2,True,True,CoyoacÃ¡n,19.35448,-99.16217,Entire home/apt,2,1.0,1.0,1.0,True,True,False,True,True,False,True,True,1178.0,7,180,156,113,8,4.9,4.9,4.95,4.95,4.98,4.96,4.92,False,2,0.87
12,826691.0,a few days or more,0.38,0.0,False,6,True,True,CuauhtÃ©moc,19.40915,-99.17321,Entire home/apt,2,1.0,1.0,1.0,True,False,False,True,False,False,False,True,850.0,180,365,326,18,0,4.83,4.72,4.72,5.0,4.89,4.94,4.59,False,6,0.17
13,826760.0,a few days or more,0.38,0.0,False,6,True,True,CuauhtÃ©moc,19.40915,-99.17321,Entire home/apt,4,1.0,2.0,4.0,True,False,False,False,False,False,False,False,971.0,4,370,206,17,0,4.69,4.56,4.56,5.0,4.94,4.94,4.67,False,6,0.15
14,107078.0,within an hour,1.0,0.99,True,6,True,True,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,2,1.5,1.0,1.0,True,False,False,False,False,False,True,False,3754.0,3,365,281,10,0,5.0,5.0,5.0,5.0,4.78,4.89,4.78,True,3,0.13
15,828714.0,unknown,0.0,0.0,False,1,True,True,CoyoacÃ¡n,19.34183,-99.15533,Entire home/apt,4,1.0,2.0,2.0,True,False,False,True,False,False,False,False,600.0,1,1125,233,25,0,4.75,4.96,4.88,4.96,4.96,4.96,4.87,True,1,0.34
17,165772.0,within an hour,1.0,0.99,True,6,True,True,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,16,5.0,5.0,10.0,True,False,False,True,True,False,False,True,3794.0,2,365,238,281,9,4.88,4.91,4.86,4.94,4.93,4.7,4.9,False,6,2.07
21,858277.0,within a few hours,1.0,0.0,False,3,True,True,CuauhtÃ©moc,19.41319,-99.1758,Entire home/apt,6,2.0,3.0,4.0,True,False,False,False,False,False,False,False,1897.0,2,1125,213,136,0,4.83,4.92,4.84,4.91,4.93,4.97,4.81,False,2,1.15
23,180808.0,within an hour,1.0,1.0,False,2,True,True,CuauhtÃ©moc,19.4239,-99.1689,Entire home/apt,2,1.5,1.0,1.0,True,False,False,True,True,False,False,False,1093.0,3,365,143,40,3,4.75,4.85,4.68,4.88,4.85,4.88,4.7,True,1,0.32
25,187030.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.41057,-99.1773,Entire home/apt,2,1.0,1.0,1.0,True,False,True,True,True,False,True,True,50000.0,14,365,0,99,2,4.55,4.65,4.65,4.83,4.88,4.92,4.48,False,6,0.75
27,187745.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.41057,-99.1773,Entire home/apt,3,2.0,1.0,2.0,True,False,False,True,False,False,False,False,5000.0,14,365,265,24,0,4.67,4.58,4.58,4.83,4.79,5.0,4.63,False,6,0.22
28,194937.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.41057,-99.1773,Entire home/apt,2,1.0,1.0,1.0,True,False,False,True,False,False,True,True,2000.0,3,1125,0,65,1,4.68,4.68,4.8,4.86,5.0,4.95,4.68,False,6,0.49
29,868986.0,within an hour,1.0,0.88,True,18,True,True,CuauhtÃ©moc,19.4306,-99.17074,Entire home/apt,2,1.0,1.0,1.0,True,False,False,True,False,False,True,False,998.0,2,730,349,22,4,4.91,4.95,4.91,4.91,4.91,4.95,4.82,True,10,0.19
30,198778.0,within a day,0.75,0.81,False,2,True,True,CuauhtÃ©moc,19.41554,-99.17927,Entire home/apt,4,1.0,2.0,2.0,True,True,False,False,False,False,True,False,799.0,2,365,325,171,0,4.57,4.72,4.64,4.78,4.81,4.85,4.58,False,2,1.27
32,204887.0,within a day,0.5,0.57,True,1,True,True,CuauhtÃ©moc,19.4059,-99.17548,Entire home/apt,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,1200.0,3,180,328,27,1,4.58,4.59,4.31,4.77,4.85,4.96,4.42,False,1,0.22
33,883511.0,within a few hours,1.0,0.62,True,6,True,True,CuauhtÃ©moc,19.44207,-99.14797,Entire home/apt,16,5.5,10.0,16.0,True,True,False,False,True,False,False,False,2796.0,1,90,259,217,29,4.8,4.79,4.79,4.9,4.94,4.4,4.79,False,6,1.85
34,217685.0,within a few hours,0.86,0.89,True,1,True,True,CuauhtÃ©moc,19.40491,-99.17177,Entire home/apt,2,1.0,1.0,2.0,True,True,True,True,False,False,False,False,802.0,7,1125,204,31,17,4.84,4.9,4.81,4.97,4.97,5.0,4.87,False,1,0.34
35,898633.0,within an hour,1.0,0.69,True,3,True,True,CuauhtÃ©moc,19.42063,-99.16586,Entire home/apt,2,1.0,1.0,2.0,False,False,False,False,True,False,True,True,1638.0,3,48,295,52,3,4.92,4.9,4.94,4.9,4.96,4.92,4.9,True,3,0.45
36,245507.0,within an hour,1.0,0.97,False,3,True,True,CuauhtÃ©moc,19.4236,-99.16979,Entire home/apt,3,1.0,1.0,2.0,False,False,True,True,False,False,False,False,899.0,1,90,308,309,35,4.84,4.89,4.84,4.95,4.95,4.87,4.83,True,2,2.32
