,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1455,2336651.0,within an hour,1.0,0.86,False,3.0,True,True,Leblon,-22.98291,-43.22652,Hotel room,2,1.0,1.0,1.0,"[""Dryer"", ""Iron"", ""Essentials"", ""Washer"", ""Room-darkening shades"", ""Microwave"", ""Pool"", ""Smoke alarm"", ""Kitchen"", ""Host greets you"", ""Elevator"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Security cameras on property"", ""Wifi"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Free parking on premises"", ""Cable TV"", ""Hangers"", ""Extra pillows and blankets"", ""Refrigerator"", ""Crib"", ""Gym"", ""Air conditioning"", ""Fire extinguisher"", ""Hot tub"", ""First aid kit"", ""Coffee maker"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove""]",True,False,False,True,False,False,True,True,1492,2,90,290,10,0,5.0,5.0,5.0,4.9,5.0,5.0,4.7,False,3,0.1
1512,2515976.0,within an hour,1.0,1.0,True,15.0,True,True,Santa Teresa,-22.9169,-43.18123,Hotel room,4,1.0,2.0,2.0,"[""Dedicated workspace"", ""Free street parking"", ""Iron"", ""Essentials"", ""Washer"", ""Microwave"", ""Toaster"", ""Kitchen"", ""Host greets you"", ""Conditioner"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Clothing storage: wardrobe"", ""Oven"", ""Wifi"", ""Wine glasses"", ""TV with standard cable"", ""Body soap"", ""Cable TV"", ""Hangers"", ""Extra pillows and blankets"", ""Refrigerator"", ""Crib"", ""Drying rack for clothing"", ""Baby bath"", ""Air conditioning"", ""Fire extinguisher"", ""Baking sheet"", ""Coffee maker"", ""Shared patio or balcony"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove""]",True,False,True,True,True,False,False,False,156,1,1125,358,147,20,4.71,4.72,4.85,4.79,4.75,4.59,4.63,True,15,1.45
2749,4557003.0,within an hour,1.0,1.0,True,15.0,True,True,Santa Teresa,-22.91797,-43.18206,Hotel room,2,1.0,2.0,1.0,"[""Free street parking"", ""Iron"", ""Essentials"", ""Washer"", ""Room-darkening shades"", ""Microwave"", ""Dining table"", ""Toaster"", ""Kitchen"", ""Host greets you"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Clothing storage: wardrobe"", ""Oven"", ""Wifi"", ""Wine glasses"", ""TV with standard cable"", ""Body soap"", ""Cable TV"", ""Hangers"", ""Extra pillows and blankets"", ""Refrigerator"", ""Crib"", ""Drying rack for clothing"", ""Baby bath"", ""Air conditioning"", ""Fire extinguisher"", ""Coffee maker"", ""Hot water"", ""Private patio or balcony"", ""Dishes and silverware"", ""Long term stays allowed"", ""Gas stove""]",True,False,True,True,False,False,False,False,257,1,1125,308,143,40,4.83,4.88,4.9,4.81,4.82,4.86,4.71,True,15,1.55
3016,6026202.0,within an hour,1.0,1.0,True,15.0,True,True,Santa Teresa,-22.91766,-43.18307,Hotel room,6,2.0,2.0,2.0,"[""Free street parking"", ""Iron"", ""Essentials"", ""Washer"", ""Microwave"", ""Dining table"", ""Toaster"", ""Kitchen"", ""Host greets you"", ""Conditioner"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Clothing storage: wardrobe"", ""Oven"", ""Wifi"", ""Wine glasses"", ""TV with standard cable"", ""Body soap"", ""Cable TV"", ""Hangers"", ""Extra pillows and blankets"", ""Refrigerator"", ""Drying rack for clothing"", ""Baby bath"", ""Air conditioning"", ""Fire extinguisher"", ""Baking sheet"", ""Coffee maker"", ""Shared patio or balcony"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove"", ""Pack \u2019n play/Travel crib - available upon request""]",True,False,True,True,False,False,False,False,272,1,1125,352,86,17,4.85,4.84,4.94,4.91,4.81,4.71,4.78,True,15,0.99
3621,8501192.0,unknown,0.0,0.96,False,1.0,True,True,Ipanema,-22.98454,-43.2001,Hotel room,4,2.0,2.0,3.0,"[""Iron"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Wifi"", ""Carbon monoxide alarm"", ""TV"", ""Free parking on premises"", ""Hangers"", ""Building staff"", ""Gym"", ""Air conditioning"", ""Fire extinguisher"", ""Hot tub"", ""First aid kit"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Shared pool""]",True,False,False,False,False,False,True,False,562,2,1125,0,194,16,4.88,4.89,4.84,4.99,4.98,4.99,4.79,False,1,2.28
4373,10626211.0,within an hour,0.83,1.0,False,1.0,True,True,Leblon,-22.98418,-43.222343,Hotel room,6,2.0,2.0,2.0,"[""Iron"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Wifi"", ""Wine glasses"", ""Freezer"", ""Mini fridge"", ""Clothing storage: dresser"", ""TV with standard cable"", ""Free parking garage on premises \u2013 1 space"", ""Cable TV"", ""Hangers"", ""Laundromat nearby"", ""Refrigerator"", ""Building staff"", ""Shared outdoor pool - available all year, open specific hours, rooftop"", ""Hot water kettle"", ""Fire extinguisher"", ""Baking sheet"", ""AC - split type ductless system"", ""Hot water"", ""Private patio or balcony"", ""Dishes and silverware"", ""Long term stays allowed"", ""Stove""]",True,False,True,True,False,False,False,False,492,3,1124,272,126,29,4.69,4.75,4.54,4.9,4.64,4.97,4.58,True,1,1.59
4718,11607165.0,within an hour,0.8,1.0,False,4.0,True,True,Ipanema,-22.98619,-43.20625,Hotel room,1,1.0,1.0,1.0,"[""Cable TV"", ""Heating"", ""Air conditioning"", ""Fire extinguisher"", ""Hangers"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Essentials"", ""First aid kit"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Elevator"", ""TV with standard cable""]",True,False,False,True,False,False,True,False,119,1,365,364,20,9,4.63,4.68,4.53,4.68,4.68,4.95,4.68,True,4,0.32
5078,12306706.0,within an hour,0.98,1.0,False,12.0,True,True,Botafogo,-22.9562,-43.19126,Hotel room,2,2.5,1.0,1.0,"[""Keypad"", ""Free street parking"", ""Iron"", ""Essentials"", ""Microwave"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Oven"", ""Wifi"", ""Hangers"", ""Refrigerator"", ""Ceiling fan"", ""Paid parking garage on premises"", ""Air conditioning"", ""Coffee maker"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove""]",True,False,False,False,False,False,False,False,164,1,1125,71,121,30,4.73,4.76,4.68,4.95,4.82,4.77,4.73,True,9,1.6
5081,12306768.0,within an hour,0.98,1.0,False,12.0,True,True,Botafogo,-22.9564,-43.19313,Hotel room,3,3.5,1.0,2.0,"[""Paid parking off premises"", ""Air conditioning"", ""Hangers"", ""Keypad"", ""Free street parking"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Refrigerator"", ""Shampoo"", ""Luggage dropoff allowed"", ""Oven"", ""Hot water"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""Stove""]",True,False,False,False,False,False,False,False,187,1,1125,87,49,10,4.61,4.8,4.69,4.65,4.63,4.78,4.69,True,9,0.64
5084,12307393.0,within an hour,0.98,1.0,False,12.0,True,True,Botafogo,-22.9559,-43.19293,Hotel room,4,2.5,1.0,4.0,"[""Dedicated workspace"", ""Free street parking"", ""Keypad"", ""Iron"", ""Essentials"", ""Microwave"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Wifi"", ""Hangers"", ""Refrigerator"", ""Ceiling fan"", ""Air conditioning"", ""Coffee maker"", ""Shared patio or balcony"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Backyard""]",True,False,False,False,True,False,False,False,213,1,1125,87,94,11,4.74,4.8,4.72,4.86,4.82,4.84,4.77,True,9,1.24
