,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
22,865012.0,within an hour,1.0,0.88,True,18,True,True,CuauhtÃ©moc,19.43078,-99.17011,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,True,False,1098.0,2,730,348,31,1,4.97,4.97,4.94,5.0,5.0,4.97,4.97,t,10,0.27
24,865070.0,within a day,0.5,0.0,False,2,True,True,CoyoacÃ¡n,19.34424,-99.17095,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,600.0,3,15,364,9,0,4.89,5.0,5.0,5.0,5.0,5.0,4.89,f,2,0.08
26,868843.0,within an hour,1.0,0.88,True,18,True,True,CuauhtÃ©moc,19.43068,-99.17007,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,True,False,998.0,2,730,345,44,9,4.98,4.98,4.91,5.0,5.0,5.0,4.89,t,10,0.44
31,869063.0,within an hour,1.0,0.88,True,18,True,True,CuauhtÃ©moc,19.43052,-99.17003,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,True,False,998.0,2,730,327,19,1,4.95,5.0,4.95,5.0,5.0,4.95,4.95,t,10,0.23
45,281134.0,within a few hours,1.0,0.79,True,16,True,True,CuauhtÃ©moc,19.41108,-99.17634,Hotel room,3,1.0,1.0,2.0,True,False,False,True,False,False,False,False,2860.0,1,365,347,7,0,4.71,4.71,5.0,5.0,5.0,5.0,4.86,t,12,0.07
118,1565220.0,within an hour,1.0,0.79,True,8,True,True,Ãlvaro ObregÃ³n,19.34735,-99.19016,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,True,True,2900.0,1,90,356,23,0,4.96,5.0,5.0,5.0,5.0,4.91,4.91,f,7,0.21
121,571166.0,within a few hours,1.0,0.79,True,16,True,True,CuauhtÃ©moc,19.41346,-99.1775,Hotel room,3,1.0,1.0,1.0,True,False,False,True,False,False,False,False,2600.0,1,365,265,1,0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,t,12,0.02
130,1736063.0,within an hour,1.0,0.79,True,8,True,True,Ãlvaro ObregÃ³n,19.34723,-99.19396,Hotel room,2,1.0,1.0,1.0,True,False,False,True,True,False,True,True,1800.0,1,90,358,38,4,4.84,4.78,4.95,4.89,4.89,4.95,4.84,f,7,0.36
173,737328.0,within an hour,1.0,0.88,True,18,True,True,CuauhtÃ©moc,19.43059,-99.17073,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,True,False,1098.0,2,730,324,23,1,4.83,4.87,4.83,5.0,5.0,4.83,4.78,t,10,0.19
177,757338.0,within a day,0.5,0.0,False,2,True,True,CoyoacÃ¡n,19.3454,-99.16951,Hotel room,10,3.0,5.0,0.0,True,False,False,False,False,False,False,False,3180.0,3,8,358,32,0,4.88,4.77,4.84,4.97,5.0,4.97,4.84,f,2,0.27
303,2908932.0,within an hour,1.0,0.99,False,50,True,True,CuauhtÃ©moc,19.42644,-99.161,Hotel room,4,1.0,2.0,3.0,True,False,False,False,False,False,False,False,998.0,2,1125,206,4,0,4.5,5.0,5.0,4.5,5.0,5.0,4.75,t,49,0.09
634,6810808.0,within a few hours,0.87,0.36,False,59,True,True,CuauhtÃ©moc,19.42368,-99.17148,Hotel room,16,1.0,50.0,50.0,True,False,False,True,False,False,True,False,4493.0,1,1125,365,7,2,3.71,3.86,3.86,4.33,3.86,3.86,3.57,t,19,0.08
835,9171973.0,within an hour,0.97,0.95,False,27,True,False,Miguel Hidalgo,19.40033,-99.25303,Hotel room,2,1.0,1.0,1.0,True,False,False,True,True,False,True,False,1023.0,2,1125,360,36,0,4.83,4.92,4.92,4.86,4.8,4.97,4.74,t,26,0.46
1074,11491144.0,within a few hours,0.87,0.36,False,59,True,True,CuauhtÃ©moc,19.42456,-99.17179,Hotel room,16,1.0,10.0,10.0,True,False,False,True,False,False,True,False,1797.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,19,0.0
1079,11507601.0,within a few hours,0.87,0.36,False,59,True,True,CuauhtÃ©moc,19.42543,-99.17176,Hotel room,16,1.0,20.0,20.0,True,False,False,True,False,False,True,False,1797.0,1,1125,355,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,19,0.04
