,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
10,6.75e+17,within a few hours,0.67,0.2,False,1.0,True,False,Cidade UniversitÃ¡ria,-22.8703988,-43.2174207,Private room,1,1.0,1.0,1.0,"[""Wifi"", ""Washer"", ""Long term stays allowed"", ""Kitchen""]",True,False,False,False,False,False,False,False,76,1,365,179,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,1,0.0
12,33331421.0,within a day,1.0,0.0,False,1.0,True,False,Santa Cruz,-22.87621,-43.76595,Private room,2,1.0,1.0,2.0,"[""Air conditioning"", ""Essentials"", ""Wifi"", ""TV"", ""Free parking on premises""]",True,False,False,False,False,False,False,False,150,1,7,89,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.03
15,53383999.0,within an hour,1.0,0.98,True,6.0,True,True,Ipanema,-23.00049,-43.18474,Private room,7,2.0,2.0,4.0,"[""Iron"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Elevator"", ""Paid parking lot on premises"", ""Bed linens"", ""Lock on bedroom door"", ""Hair dryer"", ""Cooking basics"", ""Mini fridge"", ""Body soap"", ""Paid parking off premises"", ""Building staff"", ""Fire extinguisher"", ""Portable fans"", ""Coffee maker"", ""Cleaning products"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware""]",False,False,False,False,False,False,False,False,1000,2,365,30,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,6,0.0
19,5.52e+17,unknown,0.0,1.0,False,6.0,True,True,Urca,-22.95022,-43.16793,Private room,2,1.0,1.0,1.0,"[""Babysitter recommendations"", ""Heating"", ""Stainless steel oven"", ""Stainless steel electric stove"", ""Crib - available upon request"", ""Dedicated workspace"", ""Free street parking"", ""Iron"", ""Essentials"", ""Microwave"", ""Dining table"", ""Free carport on premises \u2013 1 space"", ""Paid washer"", ""Consul refrigerator"", ""Dishwasher"", ""Children\u2019s dinnerware"", ""Bed linens"", ""Francis body soap"", ""Private entrance"", ""Lock on bedroom door"", ""Hair dryer"", ""Cooking basics"", ""Cleaning before checkout"", ""Security cameras on property"", ""Wifi"", ""BBQ grill"", ""Wine glasses"", ""Waterfront"", ""Freezer"", ""Shared hot tub - available all year, open specific hours"", ""Bread maker"", ""Shared fenced garden or backyard"", ""Laundromat nearby"", ""Board games"", ""Beachfront"", ""Outdoor furniture"", ""Paid dryer \u2013 In unit"", ""Drying rack for clothing"", ""Sound system"", ""Hot water kettle"", ""Air conditioning"", ""Breakfast"", ""Barbecue utensils"", ""Baking sheet"", ""Coffee maker"", ""Outdoor dining area"", ""Shared patio or balcony"", ""Hot water"", ""Outdoor shower"", ""Long term stays allowed"", ""Dishes and silverware"", ""Rice maker""]",True,True,False,False,True,False,False,True,401,2,365,0,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,3,0.0
22,5.52e+17,unknown,0.0,1.0,False,6.0,True,True,Urca,-22.95053,-43.16792,Private room,2,1.0,1.0,2.0,"[""Heating"", ""Air conditioning"", ""Lock on bedroom door"", ""Security cameras on property"", ""Paid washer"", ""Outdoor dining area"", ""Private hot tub"", ""Wifi"", ""Outdoor shower"", ""Crib"", ""BBQ grill"", ""Long term stays allowed""]",True,False,False,False,False,False,False,True,401,2,365,0,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,3,0.0
23,1174007.0,within an hour,0.98,0.88,True,6.0,True,True,Copacabana,-22.97277,-43.17966,Private room,3,1.5,1.0,3.0,"[""Iron"", ""Essentials"", ""Washer"", ""Microwave"", ""Kitchen"", ""Bed linens"", ""Private entrance"", ""Lock on bedroom door"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Oven"", ""Wifi"", ""BBQ grill"", ""Hangers"", ""Extra pillows and blankets"", ""Refrigerator"", ""Beachfront"", ""Outdoor furniture"", ""Breakfast"", ""Coffee maker"", ""Outdoor dining area"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Backyard"", ""Stove""]",True,True,False,False,False,False,False,False,107,2,30,338,189,37,4.8,4.75,4.73,4.68,4.79,4.49,4.73,False,6,1.76
29,8410797.0,within a day,0.75,0.33,False,3.0,True,True,Ipanema,-22.98871,-43.19334,Private room,2,1.0,1.0,1.0,"[""Cable TV"", ""Air conditioning"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Washer"", ""Hot water"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV with standard cable""]",True,False,False,True,False,False,False,False,1000,3,1125,362,1,0,0.0,4.8,4.72,4.88,4.87,4.87,4.68,False,3,0.02
32,7.09e+17,within a few hours,1.0,1.0,False,1.0,True,False,Barra de Guaratiba,-23.0639829,-43.5675415,Private room,2,1.0,1.0,1.0,"[""Air conditioning"", ""Lock on bedroom door"", ""First aid kit"", ""Washer"", ""Wifi"", ""Outdoor shower"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,192,2,10,19,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,1.0
36,28053241.0,unknown,0.0,0.0,False,1.0,True,False,Urca,-22.95056,-43.17175,Private room,12,3.0,3.0,3.0,"[""Paid parking off premises"", ""Air conditioning"", ""Fire extinguisher"", ""Hangers"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Essentials"", ""Host greets you"", ""Hot water"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",False,False,False,False,False,False,False,False,1850,2,1125,180,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,1,0.0
40,47936440.0,within an hour,1.0,1.0,False,4.0,True,True,Centro,-22.91529,-43.16735,Private room,2,1.0,1.0,1.0,"[""Air conditioning"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Long term stays allowed""]",True,False,False,False,False,False,False,False,820,1,365,251,1,1,5.0,5.0,5.0,5.0,2.0,5.0,5.0,True,4,0.24
