,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1,783480.0,within a few hours,1.0,1.0,False,2,True,True,Cuajimalpa de Morelos,19.35379,-99.28459,Private room,4,2.5,2.0,4.0,True,False,False,True,False,False,False,False,500.0,2,365,363,27,0,4.96,4.93,4.93,4.93,4.93,4.7,4.85,True,2,0.26
2,796477.0,unknown,0.0,0.67,True,1,True,True,CuauhtÃ©moc,19.41824,-99.1756,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,599.0,3,120,323,144,3,4.73,4.7,4.7,4.84,4.91,4.96,4.71,False,1,1.52
8,61792.0,unknown,0.0,0.79,False,1,True,True,CuauhtÃ©moc,19.41083,-99.18057,Private room,2,1.0,1.0,1.0,True,False,True,False,True,False,False,True,1198.0,2,1125,175,58,6,4.91,4.88,4.91,4.91,4.95,4.93,4.86,False,1,0.97
16,131610.0,unknown,0.0,0.0,False,3,True,False,CoyoacÃ¡n,19.35416,-99.16488,Private room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,1360.0,1,730,88,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,3,0.0
18,832805.0,within a few hours,1.0,0.62,True,6,True,True,CuauhtÃ©moc,19.44262,-99.14566,Private room,2,1.5,1.0,1.0,True,False,False,False,True,False,False,False,440.0,1,1125,297,127,4,4.73,4.72,4.67,4.9,4.92,4.46,4.8,False,6,1.07
19,171109.0,within a day,0.9,0.69,False,2,True,True,Benito JuÃ¡rez,19.39675,-99.17581,Private room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,True,290.0,4,1125,300,84,11,4.8,4.85,4.57,4.98,4.94,4.99,4.77,False,2,0.81
20,844818.0,unknown,0.0,0.0,False,1,True,False,Benito JuÃ¡rez,19.38336,-99.18197,Private room,2,1.0,1.0,0.0,True,False,False,True,False,False,False,False,460.0,2,1125,269,8,0,4.75,5.0,5.0,5.0,5.0,4.88,4.75,False,1,0.07
40,252618.0,within a few hours,1.0,1.0,False,5,True,True,CuauhtÃ©moc,19.41472,-99.15602,Private room,2,1.0,1.0,2.0,False,True,False,False,True,False,False,False,524.0,5,1825,346,18,2,4.06,4.18,4.35,4.56,4.29,4.65,4.18,True,4,0.14
44,1007174.0,unknown,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.43817,-99.15466,Private room,2,1.0,1.0,2.0,True,False,False,False,False,False,False,False,799.0,3,90,364,9,0,4.78,4.78,4.89,4.78,4.78,4.56,4.44,False,1,0.08
48,291804.0,unknown,0.0,0.0,False,1,True,False,Benito JuÃ¡rez,19.36305,-99.15412,Private room,1,1.0,1.0,1.0,False,False,False,False,False,False,False,False,600.0,2,14,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
50,1013504.0,within an hour,1.0,1.0,False,2,True,True,CoyoacÃ¡n,19.34034,-99.18345,Private room,1,1.5,1.0,1.0,True,False,False,True,False,False,False,False,280.0,4,200,315,51,4,4.96,4.92,4.9,4.88,4.94,4.94,4.86,True,2,0.47
53,325812.0,within a day,1.0,0.77,False,1,True,False,CuauhtÃ©moc,19.43319,-99.14665,Private room,1,1.0,1.0,1.0,True,False,True,False,False,False,True,False,499.0,4,10,68,107,0,4.78,4.79,4.85,4.86,4.86,4.93,4.78,False,1,1.02
54,1051636.0,unknown,0.0,0.57,False,2,True,True,CuauhtÃ©moc,19.40592,-99.1691,Private room,1,1.0,1.0,1.0,True,False,True,True,True,False,False,False,779.0,2,1125,336,27,4,4.85,4.59,4.96,4.96,4.74,4.93,4.74,False,1,0.24
55,326296.0,within an hour,1.0,1.0,False,2,True,True,CoyoacÃ¡n,19.34034,-99.18345,Private room,2,1.5,1.0,1.0,True,False,False,True,False,False,False,False,346.0,2,160,319,197,4,4.79,4.81,4.83,4.86,4.92,4.74,4.84,True,2,1.69
56,326475.0,within an hour,1.0,1.0,False,2,True,True,CuauhtÃ©moc,19.41444,-99.15734,Private room,2,1.0,1.0,1.0,True,False,True,True,True,False,False,False,600.0,2,31,6,115,9,4.86,4.86,4.8,4.9,4.93,4.88,4.81,False,2,1.27
57,1066945.0,within an hour,1.0,0.64,False,5,True,True,CoyoacÃ¡n,19.35445,-99.16251,Private room,2,1.0,1.0,1.0,True,True,False,False,False,False,False,False,1177.0,2,365,337,146,3,4.93,4.94,4.97,4.96,4.9,4.97,4.94,False,5,1.35
58,329776.0,within an hour,0.78,0.67,False,5,True,True,Tlalpan,19.2751,-99.17757,Private room,2,1.5,1.0,1.0,True,False,False,True,True,False,False,False,300.0,2,1125,0,16,1,4.81,4.94,4.75,4.93,5.0,4.6,4.8,True,5,0.26
59,1087636.0,within an hour,1.0,0.93,True,2,True,True,CoyoacÃ¡n,19.30523,-99.18356,Private room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,450.0,1,13,338,31,5,4.9,4.94,4.84,4.97,4.97,4.87,4.9,False,1,0.33
60,1107979.0,within an hour,1.0,1.0,False,1,True,False,Iztapalapa,19.32227,-99.09046,Private room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,258.0,1,1125,365,1,0,0.0,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.01
61,331030.0,a few days or more,0.25,0.86,False,3,True,True,CoyoacÃ¡n,19.34549,-99.15872,Private room,2,1.0,1.0,1.0,True,False,True,False,False,False,False,False,1300.0,2,1125,363,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
64,1135302.0,within an hour,1.0,0.74,True,3,True,True,Benito JuÃ¡rez,19.36613,-99.17831,Private room,3,1.0,1.0,1.0,True,False,False,True,False,False,True,False,440.0,2,1125,204,9,1,4.78,5.0,5.0,5.0,4.89,4.89,5.0,False,3,0.11
66,350079.0,unknown,0.0,0.0,False,1,True,False,CuauhtÃ©moc,19.40639,-99.16686,Private room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,1098.0,5,180,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
67,1167552.0,within an hour,1.0,1.0,True,1,True,True,CuauhtÃ©moc,19.41317,-99.15735,Private room,2,1.5,1.0,2.0,True,True,False,True,True,False,False,False,502.0,3,28,68,127,18,4.88,4.89,4.63,4.96,4.97,4.94,4.86,False,1,1.12
68,357324.0,unknown,0.0,0.0,False,1,True,False,Miguel Hidalgo,19.40237,-99.24315,Private room,2,2.0,1.0,1.0,True,False,False,True,False,False,False,False,2000.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
69,1170780.0,unknown,0.0,0.0,False,2,True,False,Benito JuÃ¡rez,19.39129,-99.1888,Private room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,420.0,3,1125,264,17,0,4.94,5.0,5.0,4.94,5.0,4.56,4.81,False,2,0.16
75,373792.0,within an hour,1.0,1.0,False,1,True,False,CuauhtÃ©moc,19.41277,-99.17546,Private room,1,1.5,1.0,1.0,True,True,True,True,False,False,False,False,899.0,2,365,364,13,1,4.69,4.77,4.92,5.0,5.0,5.0,4.77,True,1,0.1
76,375032.0,within a few hours,0.78,0.56,False,10,True,True,CuauhtÃ©moc,19.4075,-99.17561,Private room,14,6.0,6.0,10.0,True,False,False,False,True,False,False,False,13500.0,1,14,358,51,5,4.69,4.56,4.73,4.78,4.84,4.98,4.47,False,10,0.41
79,382712.0,within a few hours,0.75,0.0,False,1,True,True,Miguel Hidalgo,19.45684,-99.17179,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,700.0,1,7,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
81,386265.0,within an hour,1.0,0.97,False,3,True,True,CoyoacÃ¡n,19.3424,-99.15419,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,297.0,4,1125,352,11,1,4.64,4.64,4.91,4.73,4.64,4.91,4.73,False,2,0.11
82,1309198.0,within a few hours,1.0,0.96,True,6,True,True,CoyoacÃ¡n,19.34356,-99.1286,Private room,2,1.0,1.0,1.0,True,True,False,False,False,False,False,False,350.0,3,1125,55,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,4,0.02
84,1324525.0,a few days or more,0.0,0.0,False,1,True,True,Benito JuÃ¡rez,19.38366,-99.16569,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,500.0,1,1125,363,3,0,5.0,5.0,5.0,5.0,5.0,4.67,5.0,False,1,0.03
